Model,MAE (INR),RMSE (INR),R² Score
Linear Regression,37934.793652802415,65453.69210707569,0.9065154725021652
Decision Tree,22031.927999536518,38355.541721955495,0.9678983259470577
Random Forest,17109.454412744362,29009.62713371321,0.9816364884536958
XGBoost,16899.52338580079,28783.45943236668,0.981921707098799
KNN Regressor,26110.572627519447,46407.116621627865,0.9530061950512156
ANN Regressor,24329.402408867318,41513.11844106145,0.9623952976098142
